,GARAN,GARAN,GARAN,GUBRF,GUBRF,GUBRF,KRDMD,KRDMD,KRDMD,YKBNK,YKBNK,YKBNK
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2000-05-10 00:00:00+00:00,0.7267230153083801,0.7107509970664978,17957749,0.1478209942579269,0.1478209942579269,936718,0.1187399998307228,0.1187399998307228,14234158,17.25,17.25,1234449
2000-05-11 00:00:00+00:00,0.6947789788246155,0.6708210110664368,23421861,0.142207995057106,0.142207995057106,205353,0.1125980019569397,0.1125980019569397,7340189,16.75,16.75,317350
2000-05-12 00:00:00+00:00,0.718737006187439,0.6867930293083191,27451246,0.1440789997577667,0.1440789997577667,865491,0.1166919991374015,0.1166919991374015,8661258,17.5,17.5,939260
2000-05-15 00:00:00+00:00,0.6788070201873779,0.6708210110664368,5299547,0.142207995057106,0.142207995057106,311971,0.1105509996414184,0.1105509996414184,2203280,17.0,17.0,350786
2000-05-16 00:00:00+00:00,0.6788070201873779,0.6708210110664368,6817297,0.1403370052576065,0.1403370052576065,1012338,0.1085029989480972,0.1085029989480972,3463072,16.75,16.75,451623
2000-05-17 00:00:00+00:00,0.6788070201873779,0.6548489928245544,14765721,0.1347229927778244,0.1347229927778244,469093,0.1044090017676353,0.1044090017676353,5818496,16.75,16.75,476882
2000-05-18 00:00:00+00:00,0.6388769745826721,0.6149190068244934,32139164,0.1309809982776641,0.1309809982776641,107688,0.1003139987587928,0.1003139987587928,3050761,15.5,15.5,1443878
2000-05-19 00:00:00+00:00,0.6149190068244934,0.6149190068244934,0,0.1309809982776641,0.1309809982776641,0,0.1003139987587928,0.1003139987587928,0,15.5,15.5,0
2000-05-22 00:00:00+00:00,0.5989469885826111,0.5989469885826111,18474658,0.1272390037775039,0.1272390037775039,255857,0.0994959995150566,0.0994959995150566,1878086,15.0,15.0,964051
2000-05-23 00:00:00+00:00,0.5989469885826111,0.5989469885826111,18474658,0.1272390037775039,0.1272390037775039,255857,0.0994959995150566,0.0994959995150566,1878086,15.0,15.0,964051
2000-05-24 00:00:00+00:00,0.5989469885826111,0.5989469885826111,0,0.1272390037775039,0.1272390037775039,0,0.0994959995150566,0.0994959995150566,0,15.0,15.0,0
2000-05-25 00:00:00+00:00,0.5989469885826111,0.5989469885826111,0,0.1272390037775039,0.1272390037775039,0,0.0994959995150566,0.0994959995150566,0,15.0,15.0,0
2000-05-26 00:00:00+00:00,0.6308910250663757,0.6229050159454346,4835866,0.1272390037775039,0.1272390037775039,176227,0.1023619994521141,0.1023619994521141,11825978,14.5,14.5,776418
2000-05-29 00:00:00+00:00,0.6229050159454346,0.6229050159454346,0,0.1272390037775039,0.1272390037775039,0,0.1023619994521141,0.1023619994521141,0,14.5,14.5,0
2000-05-30 00:00:00+00:00,0.6229050159454346,0.6229050159454346,0,0.1272390037775039,0.1272390037775039,0,0.1023619994521141,0.1023619994521141,0,14.5,14.5,0
2000-05-31 00:00:00+00:00,0.6229050159454346,0.6229050159454346,0,0.1272390037775039,0.1272390037775039,0,0.1023619994521141,0.1023619994521141,0,14.5,14.5,0
2000-06-01 00:00:00+00:00,0.6229050159454346,0.6229050159454346,0,0.1272390037775039,0.1272390037775039,0,0.1023619994521141,0.1023619994521141,0,14.5,14.5,0
2000-06-02 00:00:00+00:00,0.6788070201873779,0.6229050159454346,27882433,0.1178829967975616,0.1178829967975616,755412,0.0974479988217353,0.0974479988217353,40953568,1.345510959625244,1.345510959625244,15706243
2000-06-05 00:00:00+00:00,0.6229050159454346,0.6229050159454346,0,0.1178829967975616,0.1178829967975616,0,0.0974479988217353,0.0974479988217353,0,1.345510959625244,1.345510959625244,0
2000-06-06 00:00:00+00:00,0.6708210110664368,0.6468629837036133,10197470,0.1160119995474815,0.1160119995474815,285918,0.096220001578331,0.096220001578331,4475091,1.37957501411438,1.37957501411438,4282029
2000-06-07 00:00:00+00:00,0.6468629837036133,0.6468629837036133,0,0.1160119995474815,0.1160119995474815,0,0.096220001578331,0.096220001578331,0,1.37957501411438,1.37957501411438,0
2000-06-08 00:00:00+00:00,0.6468629837036133,0.6468629837036133,0,0.1160119995474815,0.1160119995474815,0,0.096220001578331,0.096220001578331,0,1.37957501411438,1.37957501411438,0
2000-06-09 00:00:00+00:00,0.6867930293083191,0.6788070201873779,7104982,0.1216249987483024,0.1216249987483024,1004856,0.0994959995150566,0.0994959995150566,3927990,1.362542986869812,1.362542986869812,7783497
2000-06-12 00:00:00+00:00,0.6708210110664368,0.6628350019454956,5250593,0.1178829967975616,0.1178829967975616,97933,0.096220001578331,0.096220001578331,2282826,1.3114479780197144,1.3114479780197144,4885198
2000-06-13 00:00:00+00:00,0.6308910250663757,0.6149190068244934,21419544,0.1141399964690208,0.1141399964690208,375435,0.0933540016412735,0.0933540016412735,3405127,1.2092570066452026,1.2092570066452026,8265503
2000-06-14 00:00:00+00:00,0.6308910250663757,0.6229050159454346,62902028,0.1141399964690208,0.1141399964690208,1114547,0.0933540016412735,0.0933540016412735,9300066,1.2262890338897705,1.2262890338897705,21219473
